ym,turnover_vnd,n_names,net_foreign_vnd,gross_foreign_vnd,sess,turnover_real_vnd,foreign_share,net_foreign_pct_turnover
2006-01-01,90384346500.0,13,,,,365862364611.69257,,
2006-02-01,372460468600.0,13,,,,1499031640029.376,,
2006-03-01,1064530248900.0,14,,,,4262221992323.11,,
2006-04-01,1926267468100.0,19,,,,7668329200456.25,,
2006-05-01,1798431209000.0,22,,,,7119746605898.894,,
2006-06-01,1014040500900.0,22,,,,3991462997314.392,,
2006-07-01,537279968800.0,22,,,,2103119759163.8918,,
2006-08-01,1294863446000.0,24,,,,5039569338726.749,,
2006-09-01,1407487666900.0,24,,,,5446533155743.859,,
2006-10-01,2274773768800.0,29,,,,8753874445435.71,,
2006-11-01,3892160930800.0,29,,,,14892204464667.084,,
2006-12-01,5344432492500.0,30,,,,20335569768599.035,,
2007-01-01,8725462562500.0,33,,,,33010287630854.93,,
2007-02-01,6997478043200.0,38,,,,26321370180282.656,,
2007-03-01,17195860137100.0,98,,,,64348480725968.15,,
2007-04-01,10919558433300.0,101,,,,40628011789573.09,,
2007-05-01,17351148037000.0,101,,,,64200033739706.34,,
2007-06-01,12774655858800.0,102,,,,46996157452159.32,,
2007-07-01,10366453970900.0,104,,,,37925377515889.78,,
2007-08-01,10375204691600.0,103,,,,37740049209952.07,,
2007-09-01,12767298083500.0,97,,,,46175423393040.79,,
2007-10-01,27945357529900.0,112,,,,100509730026825.86,,
2007-11-01,18789176706300.0,130,,,,67191182857428.57,,
2007-12-01,12720611553200.0,138,,,,45237549848560.055,,
2008-01-01,13732174321500.0,142,,,,48555283182909.2,,
2008-02-01,10855705725400.0,151,,,,38164655379100.234,,
2008-03-01,13539948752500.0,166,,,,47346436766614.14,,
2008-04-01,7177842004600.0,176,,,,24955729740678.984,,
2008-05-01,2737134625600.0,177,,,,9463659058674.365,,
2008-06-01,4712546372000.0,154,,,,16200359930940.02,,
2008-07-01,13379937308400.0,149,,,,45741421123491.47,,
2008-08-01,21272156972600.0,158,,,,72305811327600.2,,
2008-09-01,18525040754800.0,170,,,,62607584195830.41,,
2008-10-01,11711974414600.0,176,,,,39362659836122.22,,
2008-11-01,9549000730500.0,177,,,,31909378710113.82,,
2008-12-01,6689322107900.0,175,,,,22229468485085.246,,
2009-01-01,2747115749400.0,161,,,,9076742775807.906,,
2009-02-01,3365839037900.0,150,,,,11057387062682.84,,
2009-03-01,8907479852500.0,134,,,,29111290805782.598,,
2009-04-01,19654662080000.0,135,,,,63867261521549.63,,
2009-05-01,35105346878400.0,156,,,,113441648858746.06,,
2009-06-01,51656758310600.0,189,,,,165971114401655.53,,
2009-07-01,28991075487400.0,197,,,,92630975156819.7,,
2009-08-01,46395478623100.0,205,,,,147391917291833.97,,
2009-09-01,73829910757900.0,217,,,,233204245229321.62,,
2009-10-01,94793469167700.0,250,,,,297761863707212.0,,
2009-11-01,54748868246200.0,263,,,,170990468484383.6,,
2009-12-01,37348174820300.0,275,,,,115998583850914.75,,
2010-01-01,38488326735600.0,283,,,,118855267718470.61,,
2010-02-01,16522837381500.0,285,,,,50731783692023.86,,
2010-03-01,52616809886900.0,294,,,,160719088979677.28,,
2010-04-01,55110014846500.0,308,,,,167370755308564.53,,
2010-05-01,49530811648300.0,321,,,,149592920413338.22,,
2010-06-01,37999627272100.0,344,,,,114109297690482.3,,
2010-07-01,33115385065300.0,364,,,,98891292490705.3,,
2010-08-01,28001159170000.0,379,,,,83140063835481.86,,
2010-09-01,29133214262800.0,387,,,,86006019025826.92,,
2010-10-01,18819670452400.0,395,,,,55250855285914.125,,
2010-11-01,18822768132500.0,387,,,,54943533115450.98,,
2010-12-01,44725300598600.0,384,,,,129829357184800.75,,
2011-01-01,18336994098600.0,386,,,,52924149007312.05,,
2011-02-01,14880381528900.0,361,,,,42701772699830.07,,
2011-03-01,20604240307100.0,348,,,,58821472095890.516,,
2011-04-01,10649001060000.0,340,,,,30226944782874.227,,
2011-05-01,11330727657000.0,314,,,,31983775728856.793,,
2011-06-01,16859575095100.0,293,,,,47317812080204.98,,
2011-07-01,7501092102400.0,284,,,,20935776632958.2,,
2011-08-01,12398997453600.0,251,,,,34407827206088.582,,
2011-09-01,20472406976200.0,234,,,,56486632386961.28,,
2011-10-01,10376248502000.0,236,,,,28471063475083.645,,
2011-11-01,8809838333300.0,221,,,,24034625746141.207,,
2011-12-01,9338912061800.0,211,,,,25336828923868.82,,
2012-01-01,4758127235100.0,194,,,,12835066521174.256,,
2012-02-01,16157824614100.0,188,,,,43336223470937.17,,
2012-03-01,33145704031700.0,192,,,,88422424091924.19,,
2012-04-01,30192216299000.0,215,,,,80082249250583.19,,
2012-05-01,34155295411200.0,237,,,,90091924121225.36,,
2012-06-01,18698727459800.0,240,,,,49039492573808.555,,
2012-07-01,14101802501200.0,234,,,,36778591411830.2,,
2012-08-01,15850158406000.0,223,,,,41101736496696.586,,
2012-09-01,10083992248500.0,207,,,,25999510206274.188,,
2012-10-01,9872058879700.0,204,,,,25312028358194.074,,
2012-11-01,6973734952000.0,175,,,,17778321201909.418,,
2012-12-01,12619802934900.0,165,,,,31993697358022.625,,
2013-01-01,31959194244800.0,162,,,,80558946858214.1,,
2013-02-01,20624921839900.0,161,,,,51691170893458.336,,
2013-03-01,18090777404300.0,167,,,,45105420210182.66,,
2013-04-01,17399627696300.0,170,,,,43133783933061.375,,
2013-05-01,23412923024400.0,167,,,,57719131567772.11,,
2013-06-01,23870337971700.0,174,,,,58509827615931.34,,
2013-07-01,18453100066900.0,181,,,,44980692296659.58,,
2013-08-01,16762084785300.0,176,,,,40624771498878.44,,
2013-09-01,13929787928000.0,169,,,,33567075270729.477,,
2013-10-01,21597246947500.0,164,,,,51755193896129.06,,
2013-11-01,24902968098500.0,168,,,,59335247427969.375,,
2013-12-01,27416304523600.0,187,,,,64961659207906.664,,
2014-01-01,28822981368800.0,194,,,,67903661691819.8,,
2014-02-01,46359707326700.0,197,,,,108592811763343.47,,
2014-03-01,68109480821420.0,214,,,,158714062233563.75,,
2014-04-01,40190191639160.0,228,,,,93118080344544.69,,
2014-05-01,33776931672110.0,232,,,,77825277980734.38,,
2014-06-01,28215894952850.0,234,,,,64639861125118.68,,
2014-07-01,37810348060810.0,228,,,,86139789909075.48,,
2014-08-01,46750727623670.0,232,,,,105897963206557.55,,
2014-09-01,64066807396750.0,239,,,,144290724750533.5,,
2014-10-01,59492646311670.0,254,,,,133246302847948.45,,
2014-11-01,45765628384790.0,256,,,,101914835942926.05,,
2014-12-01,44974135046390.0,261,,,,99597250084848.05,,
2015-01-01,37116453947900.0,259,,,,81725409473013.95,,
2015-02-01,19317227548940.0,256,,,,42290373702808.33,,
2015-03-01,36522790722140.0,255,,,,79544128279411.98,,
2015-04-01,26797877601240.0,250,,,,58029746158571.29,,
2015-05-01,29807423763560.0,248,,,,64189096320773.95,,
2015-06-01,49821139081360.0,247,,,,106673506730610.94,,
2015-07-01,57001694583320.0,251,,,,121371643900548.11,,
2015-08-01,44134088862360.0,254,,,,93435030589517.75,,
2015-09-01,30561893073040.0,254,,,,64331239399966.78,,
2015-10-01,42433458036960.0,254,,,,88825291196387.38,,
2015-11-01,43022948953160.0,256,,,,89543587385466.97,,
2015-12-01,35283697460000.0,263,,,,73028932418297.05,,
2016-01-01,33634386631500.0,260,,,,69216633738296.73,,
2016-02-01,27290407604100.0,259,,,,55839700964352.2,,
2016-03-01,50256958773900.0,263,,,,102281305442698.06,,
2016-04-01,41579034358600.0,272,,,,84135747322195.2,,
2016-05-01,39741434672600.0,284,,,,79971685035917.73,,
2016-06-01,53744410017800.0,295,,,,107530608917286.2,,
2016-07-01,59838496257500.0,305,,,,119060040116258.22,,
2016-08-01,57562968076800.0,310,,,,113876636729080.83,,
2016-09-01,54954414098100.0,308,,,,108093638224407.11,,
2016-10-01,42902939005500.0,304,,,,83921095529277.38,,
2016-11-01,39184675135500.0,303,,,,76209032980013.7,,
2016-12-01,38574162240760.0,295,,,,74605913282835.62,,
2017-01-01,27440633781250.0,290,,,,52768771771871.92,,
2017-02-01,49776707764340.0,283,,,,95173297469689.78,,
2017-03-01,64947752821150.0,288,,,,123537987345881.7,,
2017-04-01,51666469648100.0,295,,,,97712759752138.45,,
