time,n,n_ob60,n_ob65,n_ob70,n_ob75,n_ob80
2007-01-02,131,43,37,30,28,27
2007-01-03,131,47,36,28,25,23
2007-01-04,131,54,44,32,26,21
2007-01-05,131,62,51,39,29,25
2007-01-08,131,58,51,40,28,24
2007-01-09,131,58,51,45,37,25
2007-01-10,131,61,53,45,37,24
2007-01-11,131,62,54,43,36,29
2007-01-12,130,63,53,43,36,29
2007-01-15,130,67,62,45,36,32
2007-01-16,130,69,61,48,39,30
2007-01-17,130,63,51,45,32,19
2007-01-18,130,66,51,41,32,18
2007-01-19,130,69,57,43,30,23
2007-01-22,130,64,51,43,24,19
2007-01-23,130,66,51,38,24,15
2007-01-24,130,68,52,32,20,14
2007-01-25,130,58,45,26,18,8
2007-01-26,131,50,33,23,16,12
2007-01-29,131,60,42,27,16,12
2007-01-30,131,72,57,39,21,13
2007-01-31,131,84,68,53,34,18
2007-02-01,131,83,69,55,35,20
2007-02-02,131,86,65,54,42,26
2007-02-05,131,85,61,44,34,25
2007-02-06,131,84,63,45,36,27
2007-02-07,131,87,67,50,37,30
2007-02-08,131,75,55,42,34,28
2007-02-09,131,61,47,38,31,23
2007-02-12,131,73,55,37,30,23
2007-02-13,131,84,63,39,30,22
2007-02-14,131,87,67,48,37,23
2007-02-15,131,95,76,60,43,30
2007-02-26,131,116,99,81,58,35
2007-02-27,131,121,107,93,74,52
2007-02-28,131,108,97,87,79,58
2007-03-01,131,102,95,82,73,53
2007-03-02,131,102,95,83,71,55
2007-03-05,131,106,97,86,74,58
2007-03-06,131,102,93,85,71,58
2007-03-07,131,106,93,83,72,56
2007-03-08,131,111,97,82,70,58
2007-03-09,131,112,100,92,74,61
2007-03-12,132,111,104,91,74,60
2007-03-13,131,106,95,83,60,46
2007-03-14,131,100,88,70,46,35
2007-03-15,131,62,40,27,18,7
2007-03-16,131,81,46,24,11,6
2007-03-19,131,86,62,28,13,8
2007-03-20,131,75,45,23,13,7
2007-03-21,131,66,36,21,12,6
2007-03-22,131,47,24,12,8,5
2007-03-23,131,34,16,9,7,3
2007-03-26,131,30,15,9,7,3
2007-03-27,131,27,14,9,7,3
2007-03-28,131,13,8,8,7,5
2007-03-29,131,13,8,8,7,5
2007-03-30,131,11,8,8,7,6
2007-04-02,131,9,8,8,7,4
2007-04-03,131,8,7,5,4,2
2007-04-04,131,8,6,5,3,2
2007-04-05,131,8,6,4,3,2
2007-04-06,131,6,5,4,3,2
2007-04-09,131,6,4,4,4,2
2007-04-10,131,6,5,4,4,2
2007-04-11,131,8,5,5,4,3
2007-04-12,131,8,7,5,3,2
2007-04-13,131,8,6,5,4,2
2007-04-16,131,6,4,3,3,2
2007-04-17,131,6,3,3,3,2
2007-04-18,131,6,5,3,3,2
2007-04-19,131,6,5,3,3,2
2007-04-20,131,6,4,3,3,2
2007-04-23,131,5,4,3,3,2
2007-04-24,131,5,4,3,3,2
2007-04-25,131,5,4,3,3,2
2007-05-02,131,5,4,3,3,2
2007-05-03,131,5,4,3,3,2
2007-05-04,131,5,4,3,3,2
2007-05-07,131,6,4,3,3,2
2007-05-08,131,10,5,3,3,2
2007-05-09,131,12,4,3,3,2
2007-05-10,131,7,4,4,3,2
2007-05-11,131,8,4,4,4,2
2007-05-14,131,16,7,4,4,2
2007-05-15,131,17,7,4,4,3
2009-08-17,302,79,43,25,15,5
2009-08-18,304,77,43,28,11,5
2009-08-19,308,105,61,37,18,7
2009-08-20,308,130,77,46,29,14
2009-08-21,308,134,87,50,29,15
2009-08-24,308,147,93,60,31,13
2009-08-25,308,130,78,45,25,6
2009-08-26,308,136,79,49,23,9
2009-08-27,308,156,89,53,26,12
2009-08-28,308,189,137,76,39,17
2009-08-31,308,226,166,117,59,29
2009-09-01,308,202,153,100,63,26
2009-09-03,308,163,109,74,39,14
2009-09-04,307,118,67,36,18,7
2009-09-07,307,90,54,30,17,7
2009-09-08,308,128,70,39,19,8
2009-09-09,310,137,79,47,23,9
2009-09-10,310,145,89,53,30,12
2009-09-11,312,158,106,68,39,17
2009-09-14,312,182,128,77,44,25
2009-09-15,312,168,118,84,50,20
2009-09-16,312,155,97,64,38,17
2009-09-17,312,151,94,54,32,19
2009-09-18,312,168,105,68,37,18
2009-09-21,312,178,122,87,50,23
2009-09-22,313,171,129,95,63,32
2009-09-23,313,169,123,85,53,28
2009-09-24,315,149,96,64,37,22
2009-09-25,315,165,110,71,47,26
2009-09-28,316,158,113,82,48,24
2009-09-29,317,159,113,71,42,28
2009-09-30,318,144,102,62,39,19
2009-10-01,318,117,68,43,26,14
2009-10-02,318,80,51,31,14,7
2009-10-05,319,64,34,23,12,7
2009-10-06,319,83,44,25,17,9
2009-10-07,320,95,61,38,19,13
2009-10-08,321,128,87,55,28,17
2009-10-09,322,167,122,77,40,23
2009-10-12,323,209,161,114,68,31
2009-10-13,324,200,155,112,73,39
2009-10-14,324,232,179,139,97,57
2009-10-15,324,260,200,154,106,66
2009-10-16,324,227,179,126,81,49
2009-10-19,326,232,173,107,73,42
2009-10-20,326,267,212,148,94,57
2009-10-21,328,254,219,159,91,53
2009-10-22,328,241,199,149,96,51
2009-10-23,328,189,139,92,53,26
2009-10-26,328,147,98,68,40,23
2009-10-27,330,93,57,36,25,11
2009-10-28,330,79,47,29,19,13
2009-10-29,330,52,35,21,12,8
2009-10-30,331,57,37,24,9,7
2009-11-02,332,27,16,11,8,4
2009-11-03,333,17,13,4,4,2
2009-11-04,334,17,9,6,3,2
2009-11-05,338,19,12,8,4,2
2009-11-06,338,19,15,11,7,5
2009-11-09,338,15,10,6,2,1
2009-11-10,340,15,5,3,2,2
2009-11-11,341,13,6,3,3,2
2009-11-12,341,15,6,3,3,2
2009-11-13,341,17,8,3,3,3
2009-11-16,341,20,13,5,3,3
2009-11-17,342,17,10,6,2,2
2009-11-18,342,21,12,6,4,3
2009-11-19,341,26,7,3,2,1
2009-11-20,341,18,5,2,2,1
2009-11-23,342,7,2,2,1,1
2009-11-24,341,6,2,2,1,1
2009-11-25,344,4,2,1,1,1
2009-11-26,347,2,1,1,0,0
2009-11-27,346,4,3,3,2,2
2009-11-30,347,5,3,3,2,2
2018-02-21,1045,236,150,103,74,54
2018-02-22,1045,221,148,99,71,54
2018-02-23,1045,238,154,106,77,54
2018-02-26,1045,225,146,99,75,56
2018-02-27,1045,217,145,101,77,59
2018-02-28,1045,215,149,108,80,58
2018-03-01,1046,218,150,100,78,57
2018-03-02,1046,229,165,109,86,64
2018-03-05,1046,212,157,111,89,67
2018-03-06,1047,228,161,117,86,65
2018-03-07,1048,215,150,109,83,67
2018-03-08,1048,230,156,113,89,69
2018-03-09,1048,228,170,122,94,70
2018-03-12,1048,230,165,124,95,69
2018-03-13,1048,236,174,121,94,70
2018-03-14,1048,238,166,119,95,67
2018-03-15,1048,241,165,114,86,67
2018-03-16,1049,236,161,112,86,65
2018-03-19,1050,237,167,123,90,68
2018-03-20,1050,247,167,123,95,74
2018-03-21,1051,236,170,121,88,74
2018-03-22,1051,232,166,115,91,71
2018-03-23,1051,205,141,105,87,73
2018-03-26,1051,225,149,107,84,71
2018-03-27,1052,229,155,112,84,66
2018-03-28,1052,227,154,113,88,67
2018-03-29,1052,232,147,111,87,70
2018-03-30,1052,251,170,118,89,70
2018-04-02,1052,253,175,126,93,73
2018-04-03,1052,259,174,124,94,71
2018-04-04,1052,267,193,136,102,72
2018-04-05,1054,262,189,146,105,77
2018-04-06,1054,268,188,145,102,75
2018-04-09,1054,273,180,137,100,72
2018-04-10,1054,243,164,124,96,66
2018-04-11,1054,203,139,111,85,61
2018-04-12,1055,207,149,102,83,60
2018-04-13,1055,197,150,100,82,62
2018-04-16,1056,200,143,103,87,67
2018-04-17,1056,199,155,106,84,60
2018-04-18,1056,186,137,101,74,55
2018-04-19,1058,185,139,98,77,59
2018-04-20,1057,190,144,100,79,65
2018-04-23,1058,175,128,91,77,64
2018-04-24,1059,181,130,93,77,63
2018-04-26,1059,158,117,86,74,60
2018-04-27,1060,166,109,86,74,60
2018-05-02,1060,156,116,90,74,60
2018-05-03,1060,150,109,88,75,60
2018-05-04,1061,157,111,86,76,59
2018-05-07,1063,165,112,84,72,58
2018-05-08,1063,170,117,90,75,59
2018-05-09,1063,173,127,93,77,63
2018-05-10,1064,162,120,93,79,62
2018-05-11,1064,175,124,96,79,66
2018-05-14,1064,173,129,96,81,65
2018-05-15,1064,181,130,94,75,61
2021-11-15,1223,703,571,425,273,176
2021-11-16,1224,668,504,343,218,148
2021-11-17,1224,666,497,328,221,152
2021-11-18,1224,658,493,360,248,170
2021-11-19,1225,554,405,287,208,140
2021-11-22,1226,388,273,203,153,110
2021-11-23,1226,390,264,183,142,106
2021-11-24,1226,414,283,207,153,112
2021-11-25,1227,426,292,207,152,118
2021-11-26,1227,371,251,177,137,105
2021-11-29,1227,377,254,184,140,101
2021-11-30,1227,353,249,184,130,95
2021-12-01,1227,370,236,173,126,99
2021-12-02,1227,381,252,163,117,94
2021-12-03,1228,277,183,138,90,67
2021-12-06,1228,207,156,114,85,65
2021-12-07,1228,225,154,113,86,67
2021-12-08,1228,227,156,106,83,66
2021-12-09,1228,245,165,105,76,62
2021-12-10,1228,215,134,92,71,53
2021-12-13,1228,250,145,99,73,54
2021-12-14,1228,241,152,95,74,54
2021-12-15,1228,233,145,95,69,53
2021-12-16,1228,258,165,100,69,52
2021-12-17,1228,265,172,94,65,47
2021-12-20,1228,260,169,100,66,45
2021-12-21,1228,278,191,116,77,51
2021-12-22,1230,285,194,135,86,55
2021-12-23,1230,280,191,122,79,56
2021-12-24,1230,278,177,108,70,52
2021-12-27,1231,268,174,112,70,51
2021-12-28,1232,280,195,113,76,51
2021-12-29,1232,269,189,116,75,53
2021-12-30,1231,278,182,110,72,52
2021-12-31,1231,278,183,106,72,53
2022-01-04,1231,294,189,117,75,56
2022-01-05,1231,307,197,127,86,57
2022-01-06,1231,298,209,137,93,63
2022-01-07,1230,360,252,163,107,71
2022-01-10,1231,332,228,149,96,59
2022-01-11,1231,300,211,142,89,61
2022-01-12,1233,241,166,121,80,56
2022-01-13,1234,204,143,97,67,50
2022-01-14,1234,166,119,75,52,42
2022-01-17,1234,146,98,71,52,40
2022-01-18,1234,128,87,70,52,41
2022-01-19,1233,118,87,70,50,41
2022-01-20,1235,134,93,73,51,37
2022-01-21,1235,142,98,69,49,33
2022-01-24,1234,124,84,62,44,33
2022-01-25,1235,149,93,65,45,33
2022-01-26,1235,160,99,76,47,30
2022-01-27,1236,152,96,67,49,32
2022-01-28,1236,158,106,73,51,33
2022-02-07,1236,181,122,86,60,35
2022-02-08,1236,197,127,85,64,37
2022-02-09,1236,208,128,87,60,36
2022-02-10,1237,214,123,86,59,32
2022-02-11,1237,215,133,89,60,39
