record_type,key,value,ymd,book,ticker,action,play_type,holding_id,shares,adj_price,buy_amount,sell_amount,fee,cash_after,reason,state,nav_bal_ref,nav_lag_ref,bal_cash_ref,bal_stocks_ref,bal_etf_ref,lag_cash_ref,lag_stocks_ref,lag_etf_ref,w_lag_tgt,rebal_cost,cap_bal,cap_lag,combined_nav,vni_close
META,system,V2.3A go-live (= V2.2 BAL|LAG static+park + CAPIT v2 + LAG-allocator band) on DT5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,mode,"v23a (allocator band ±10pp, CAPIT on)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,source_script,"pt_v23_audit_2014.py v23a (auditable harness: T+1 Open fills, ALL data from BigQuery; NO intraday alt-fills, NO curated panel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,period,2014-01-02 -> 2026-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,init_nav_vnd,"50,000,000,000 = BAL 25,000,000,000 + LAG 25,000,000,000 (two real single-ledger books)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,price_source,"ALL prices from BigQuery project lithe-record-440915-m9, dataset tav2_bq",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,price_basis,"adjusted prices (column Open / Close of tav2_bq.ticker); tolerance note: if a corporate action re-adjusted history after this run, compare RATIOS not absolute levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,state_source,"tav2_bq.vnindex_5state_dt5g_live (DT5G production market regime, states 1..5 = CRISIS..EX-BULL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,execution_rule,"signal on session t => entry/exit executed at session t+1 OPEN (t1_open_exec; no look-ahead). MULTI-DAY FILLS: one TX row per fill day, each at that day's Open, capped at 20% of ticker ADV/day, max 5 fill days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,fee_buy,"fee = buy_amount x ((1+0.0015)x(1+slippage_book)-1); slippage_book: BAL=0.0, LAG=0.001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,fee_sell,"fee = sell_amount x (1-(1-0.0015-0.001)x(1-slippage_book)x(1-tier_slip)); tier_slip: 0 if trade<=5% ADV, 0.001 if >5%, 0.003 if >10%, 0.005 if >20% ADV",,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,fee_etf,E1VFVN30 parking rebalance friction = 0.15% of amount_vnd per side; ETF priced at tav2_bq.ticker Close of E1VFVN30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
