quarter,ticker,route,profit_2M,is_fin,side
2014-07-01,BVH,INSURANCE,-7.220101781170484,True,added
2014-10-01,FIT,COMPOUNDER,7.03735881841876,False,added
2015-01-01,GAS,COMPOUNDER,-5.017465862178472,False,added
2015-01-01,CMI,COMPOUNDER,-23.37662337662337,False,added
2015-04-01,SD6,COMPOUNDER,-10.239852398523986,False,added
2015-07-01,SSI,SECURITIES,0.3039513677811634,True,added
2015-10-01,SSI,SECURITIES,2.7375201288244666,True,added
2016-01-01,VIX,SECURITIES,2.830188679245293,True,added
2016-01-01,VND,SECURITIES,167.33333333333334,True,added
2016-01-01,SSI,SECURITIES,1.861252115059231,True,added
2016-04-01,DQC,COMPOUNDER,7.348675304583252,False,added
2016-04-01,SSI,SECURITIES,2.9209621993127044,True,added
2016-07-01,BID,BANK,-1.5222482435597209,True,added
2016-10-01,BID,BANK,16.91078561917443,True,added
2017-04-01,SSI,SECURITIES,-10.864197530864194,True,added
2017-07-01,SWC,COMPOUNDER,-9.698558322411532,False,added
2017-07-01,QNS,CYCLICAL,-15.640347563279189,False,added
2017-10-01,SSI,SECURITIES,22.77904328018224,True,added
2017-10-01,BMP,COMPOUNDER,2.9291900152827344,False,added
2017-10-01,VCG,COMPOUNDER,15.619834710743795,False,added
2018-01-01,SSI,SECURITIES,-23.212783851976447,True,added
2018-01-01,CTG,BANK,-25.837018319646244,True,added
2018-01-01,VCS,COMPOUNDER,-30.327272727272724,False,added
2018-01-01,VIC,REALESTATE,-5.294937296795165,False,added
2018-04-01,SSI,SECURITIES,5.983889528193331,True,added
2018-04-01,PVS,COMPOUNDER,19.64882943143813,False,added
2018-04-01,VPI,REALESTATE,-3.662842012356571,False,added
2018-07-01,BMP,COMPOUNDER,-11.968606932635703,False,added
2018-07-01,QCG,REALESTATE,-32.59345794392523,False,added
2018-07-01,HVN,COMPOUNDER,-22.00557103064067,False,added
2018-10-01,SSI,SECURITIES,7.995226730310256,True,added
2018-10-01,QNS,CYCLICAL,2.181633688483009,False,added
2019-01-01,LDG,REALESTATE,-16.87804878048781,False,added
2019-01-01,VRC,REALESTATE,-0.2967359050445095,False,added
2019-04-01,FCN,COMPOUNDER,-7.901668129938544,False,added
2019-07-01,QNS,CYCLICAL,0.2900232018561377,False,added
2019-07-01,VRC,REALESTATE,27.444794952681395,False,added
2019-10-01,HCM,SECURITIES,-16.918844566712522,True,added
2020-01-01,CTG,BANK,30.87674714104194,True,added
2020-01-01,HVN,COMPOUNDER,54.51263537906137,False,added
2020-04-01,MBB,BANK,8.695652173913038,True,added
2020-07-01,SSI,SECURITIES,13.24599708879184,True,added
2021-01-01,BVH,INSURANCE,-9.22659430122117,True,added
2021-04-01,VPB,BANK,-9.275496077526537,True,added
2021-07-01,ACB,BANK,11.351351351351347,True,added
2021-07-01,TLH,COMPOUNDER,-4.452996151731725,False,added
2021-07-01,VCI,SECURITIES,35.46610169491527,True,added
2021-10-01,BVH,INSURANCE,5.187144019528067,True,added
2021-10-01,VCB,BANK,7.737423866456128,True,added
2021-10-01,KSB,COMPOUNDER,5.083420229405622,False,added
2021-10-01,VCI,SECURITIES,-14.032697547683926,True,added
2022-01-01,TVC,SECURITIES,-46.26865671641791,True,added
2022-01-01,TCB,BANK,-25.0,True,added
2022-04-01,TCB,BANK,11.246200607902734,True,added
2022-04-01,TVC,SECURITIES,26.582278481012665,True,added
2022-07-01,SHS,SECURITIES,-25.67567567567568,True,added
2022-07-01,KDH,REALESTATE,-19.97153700189753,False,added
2022-10-01,VND,SECURITIES,2.5949953660797,True,added
2023-01-01,VIB,BANK,2.400000000000002,True,added
2023-01-01,VCI,SECURITIES,9.447004608294929,True,added
2023-04-01,MBS,SECURITIES,15.628299894403376,True,added
2023-04-01,MWG,COMPOUNDER,17.73539928486294,False,added
2023-07-01,FPT,COMPOUNDER,-1.7166741304672328,False,added
2024-01-01,SZC,REALESTATE,1.4395393474088358,False,added
2024-04-01,MBB,BANK,10.573600552868,True,added
2024-04-01,FTS,SECURITIES,9.253547193090682,True,added
2024-04-01,VIB,BANK,2.503477051460368,True,added
2024-07-01,SSI,SECURITIES,-12.187247780468123,True,added
2024-07-01,STB,BANK,-1.4992503748125885,True,added
2024-10-01,DXG,REALESTATE,6.238859180035661,False,added
2025-01-01,STB,BANK,6.266318537859017,True,added
2025-01-01,SSI,SECURITIES,-9.826839826839828,True,added
2025-04-01,SSB,BANK,14.276228419654723,True,added
2025-04-01,ACB,BANK,23.004694835680752,True,added
2025-04-01,PVD,COMPOUNDER,3.4676185619581856,False,added
2025-07-01,VPB,BANK,-9.325916230366492,True,added
2025-10-01,MSB,BANK,-6.451612903225811,True,added
2025-10-01,VIX,SECURITIES,-7.0563454449710346,True,added
2025-10-01,MBB,BANK,5.533596837944654,True,added
2026-01-01,DGC,CYCLICAL,-7.370517928286857,False,added
