quarter,ticker,route,profit_2M,is_fin,side
2014-07-01,BID,BANK,-6.399999999999995,True,dropped
2014-10-01,BID,BANK,42.60869565217392,True,dropped
2015-01-01,BID,BANK,25.68922305764412,True,dropped
2015-01-01,SSI,SECURITIES,7.003891050583655,True,dropped
2015-04-01,BID,BANK,-3.396226415094339,True,dropped
2015-07-01,BIC,INSURANCE,-7.860262008733621,True,dropped
2015-10-01,TVS,SECURITIES,3.300330033003296,True,dropped
2016-01-01,MBB,BANK,8.856088560885599,True,dropped
2016-01-01,BCG,SECURITIES,-5.810397553516822,True,dropped
2016-01-01,PVB,COMPOUNDER,-12.537136066547829,False,dropped
2016-04-01,MBB,BANK,0.0,True,dropped
2016-04-01,BCG,SECURITIES,7.216494845360821,True,dropped
2016-07-01,VIX,SECURITIES,2.2222222222222143,True,dropped
2016-10-01,NNC,COMPOUNDER,4.94752623688155,False,dropped
2017-04-01,VCS,COMPOUNDER,27.763555969280883,False,dropped
2017-07-01,SHS,SECURITIES,2.216066481994461,True,dropped
2017-07-01,MBB,BANK,13.800424628450102,True,dropped
2017-10-01,MBB,BANK,32.363636363636374,True,dropped
2017-10-01,VND,SECURITIES,34.34903047091413,True,dropped
2017-10-01,SHS,SECURITIES,4.883720930232549,True,dropped
2018-01-01,LPB,BANK,-21.2678936605317,True,dropped
2018-01-01,SHS,SECURITIES,-33.970276008492576,True,dropped
2018-01-01,VPB,BANK,-32.993730407523515,True,dropped
2018-01-01,MBB,BANK,-20.626631853785906,True,dropped
2018-04-01,LPB,BANK,-15.068493150684937,True,dropped
2018-04-01,VND,SECURITIES,23.27044025157232,True,dropped
2018-04-01,VPB,BANK,-12.73122959738846,True,dropped
2018-07-01,LPB,BANK,-8.55457227138643,True,dropped
2018-07-01,VND,SECURITIES,-18.85441527446301,True,dropped
2018-07-01,HDB,BANK,-22.033898305084744,True,dropped
2018-10-01,HDB,BANK,1.3377926421404671,True,dropped
2018-10-01,VND,SECURITIES,7.333333333333325,True,dropped
2019-01-01,VPB,BANK,-8.964451313755795,True,dropped
2019-01-01,HDB,BANK,-8.783783783783782,True,dropped
2019-04-01,HDB,BANK,-4.05156537753223,True,dropped
2019-07-01,HDB,BANK,0.3656307129798808,True,dropped
2019-07-01,VPB,BANK,-8.356940509915011,True,dropped
2019-10-01,HDB,BANK,2.2058823529411686,True,dropped
2020-01-01,HDB,BANK,35.79545454545454,True,dropped
2020-01-01,VPB,BANK,37.753222836095766,True,dropped
2020-04-01,HDB,BANK,13.67346938775511,True,dropped
2020-07-01,SHS,SECURITIES,19.371727748691093,True,dropped
2021-01-01,SHB,BANK,30.16815034619189,True,dropped
2021-04-01,LPB,BANK,-13.039934800326003,True,dropped
2021-07-01,MSB,BANK,23.39656729900632,True,dropped
2021-07-01,LPB,BANK,12.87726358148893,True,dropped
2021-07-01,OCB,BANK,27.67780634104541,True,dropped
2021-10-01,ABB,BANK,1.255539143279183,True,dropped
2021-10-01,MSB,BANK,-11.71929824561404,True,dropped
2021-10-01,OCB,BANK,-4.576144036009,True,dropped
2021-10-01,SHB,BANK,-5.536912751677847,True,dropped
2022-01-01,OCB,BANK,-21.67606768734891,True,dropped
2022-01-01,CTG,BANK,-14.05622489959839,True,dropped
2022-04-01,OCB,BANK,6.455542021924488,True,dropped
2022-04-01,VGC,COMPOUNDER,30.792816469557604,False,dropped
2022-07-01,MSB,BANK,-4.059040590405916,True,dropped
2022-07-01,TPB,BANK,-18.83561643835616,True,dropped
2022-10-01,ACB,BANK,10.981308411214965,True,dropped
2023-01-01,LPB,BANK,-5.888888888888888,True,dropped
2023-01-01,CTG,BANK,-4.07366071428571,True,dropped
2023-04-01,CTG,BANK,5.577029265599109,True,dropped
2023-04-01,ACB,BANK,-0.5167958656330796,True,dropped
2023-07-01,CTG,BANK,-1.4642082429501049,True,dropped
2024-01-01,CTG,BANK,-10.541427399507796,True,dropped
2024-04-01,CTS,SECURITIES,2.596439169139475,True,dropped
2024-04-01,HDC,REALESTATE,0.1786511835640825,False,dropped
2024-04-01,SAB,COMPOUNDER,-1.9588444796201032,False,dropped
2024-07-01,CTS,SECURITIES,-14.371047083626143,True,dropped
2024-07-01,ACB,BANK,-3.3007903300790287,True,dropped
2024-10-01,HCM,SECURITIES,8.329601433049705,True,dropped
2025-01-01,VIB,BANK,-6.289308176100628,True,dropped
2025-01-01,TCM,COMPOUNDER,-8.333333333333337,False,dropped
2025-04-01,CTG,BANK,17.188587334725124,True,dropped
2025-04-01,BVH,INSURANCE,10.172744721689051,True,dropped
2025-04-01,VIB,BANK,36.54855643044619,True,dropped
2025-07-01,DPM,CYCLICAL,-7.968127490039844,False,dropped
2025-10-01,STB,BANK,10.000000000000009,True,dropped
2025-10-01,POW,POWER,14.566929133858263,False,dropped
2025-10-01,VGC,COMPOUNDER,9.916367980884113,False,dropped
2026-01-01,MBS,SECURITIES,2.6831785345717174,True,dropped
