quarter,yieldcombo,v3latest,v3route3,d_route_fix,q,median_pbz,year
2014-07-01,1,2,1,-1,2014Q3,-0.495,2014
2014-10-01,2,2,1,-1,2014Q4,-0.663,2014
2015-01-01,3,2,1,-1,2015Q1,-0.316,2015
2015-04-01,3,2,1,-1,2015Q2,0.223,2015
2015-07-01,1,1,1,0,2015Q3,0.19649999999999995,2015
2015-10-01,1,1,1,0,2015Q4,0.467,2015
2016-01-01,2,1,0,-1,2016Q1,-0.721,2016
2016-04-01,1,1,0,-1,2016Q2,-0.2005,2016
2016-07-01,1,0,1,1,2016Q3,-0.4995,2016
2016-10-01,0,0,1,1,2016Q4,-1.1145,2016
2017-01-01,0,1,1,0,2017Q1,-0.0345,2017
2017-04-01,1,1,1,0,2017Q2,0.9515,2017
2017-07-01,3,3,2,-1,2017Q3,0.422,2017
2017-10-01,5,3,2,-1,2017Q4,2.06,2017
2018-01-01,6,4,2,-2,2018Q1,2.841,2018
2018-04-01,6,4,2,-2,2018Q2,0.9395,2018
2018-07-01,5,4,2,-2,2018Q3,1.448,2018
2018-10-01,5,3,2,-1,2018Q4,0.562,2018
2019-01-01,4,4,2,-2,2019Q1,0.909,2019
2019-04-01,5,3,2,-1,2019Q2,0.47150000000000003,2019
2019-07-01,8,5,3,-2,2019Q3,1.1775000000000002,2019
2019-10-01,5,4,3,-1,2019Q4,0.877,2019
2020-01-01,6,5,4,-1,2020Q1,-0.366,2020
2020-04-01,7,4,4,0,2020Q2,0.254,2020
2020-07-01,5,4,4,0,2020Q3,0.5125,2020
2020-10-01,6,3,3,0,2020Q4,1.569,2020
2021-01-01,8,7,6,-1,2021Q1,2.204,2021
2021-04-01,8,5,5,0,2021Q2,3.034,2021
2021-07-01,9,8,6,-2,2021Q3,2.073,2021
2021-10-01,9,9,6,-3,2021Q4,2.333,2021
2022-01-01,9,5,4,-1,2022Q1,1.7595,2022
2022-04-01,10,6,6,0,2022Q2,0.5945,2022
2022-07-01,10,7,5,-2,2022Q3,0.3245,2022
2022-10-01,9,5,4,-1,2022Q4,0.24,2022
2023-01-01,11,7,6,-1,2023Q1,0.12,2023
2023-04-01,12,9,7,-2,2023Q2,0.347,2023
2023-07-01,13,7,6,-1,2023Q3,0.41300000000000003,2023
2023-10-01,13,7,7,0,2023Q4,0.177,2023
2024-01-01,13,7,6,-1,2024Q1,0.565,2024
2024-04-01,13,5,7,2,2024Q2,0.421,2024
2024-07-01,13,7,7,0,2024Q3,0.911,2024
2024-10-01,11,6,6,0,2024Q4,0.403,2024
2025-01-01,13,7,7,0,2025Q1,0.675,2025
2025-04-01,15,8,8,0,2025Q2,0.782,2025
2025-07-01,15,7,8,1,2025Q3,2.008,2025
2025-10-01,14,7,8,1,2025Q4,1.509,2025
2026-01-01,14,8,8,0,2026Q1,0.866,2026
2026-04-01,13,6,7,1,2026Q2,0.781,2026
