t,y,q,dup,npl,nim,casa,llr
ACB,2010,1,1,0.496,6.013,0.654,180.147
ACB,2010,2,1,0.375,5.892,9.669,225.038
ACB,2010,3,1,,2.595,,-239.881
ACB,2010,4,1,0.339,2.595,9.717,244.769
ACB,2010,4,2,0.339,2.728,9.717,244.769
ACB,2011,1,1,0.391,2.861,8.783,220.073
ACB,2011,2,1,0.793,3.058,9.254,113.822
ACB,2011,3,1,1.08,3.109,10.284,93.85
ACB,2011,4,1,0.902,3.41,10.328,107.459
ACB,2012,1,1,1.213,3.418,10.258,88.127
ACB,2012,2,1,1.58,3.629,9.899,80.099
ACB,2012,3,1,2.141,3.828,8.805,71.186
ACB,2012,4,1,2.538,3.732,5.14,58.425
ACB,2013,1,1,2.93,3.91,8.962,54.122
ACB,2013,2,1,2.989,3.518,,-51.203
ACB,2013,3,1,3.399,3.349,11.148,50.341
ACB,2013,4,1,3.07,2.87,12.887,47.735
ACB,2014,1,1,3.329,2.778,11.367,47.376
ACB,2014,2,1,3.71,2.934,11.769,48.091
ACB,2014,3,1,3.127,2.731,12.142,54.45
ACB,2014,4,1,2.208,3.027,13.284,62.323
ACB,2015,1,1,2.129,3.098,12.967,66.985
ACB,2015,2,1,1.706,3.029,13.871,71.163
ACB,2015,3,1,1.525,3.237,13.397,77.944
ACB,2015,4,1,1.323,3.349,15.207,87.018
ACB,2016,1,1,1.332,3.29,14.224,90.032
ACB,2016,2,1,1.249,3.323,14.728,90.168
ACB,2016,3,1,1.135,3.265,12.235,100.375
ACB,2016,4,1,0.879,3.376,15.404,126.486
ACB,2017,1,1,1.089,3.275,14.216,121.06
ACB,2017,2,1,1.121,3.254,14.15,130.85
ACB,2017,3,1,1.054,3.315,14.218,151.04
ACB,2017,4,1,0.707,3.467,15.823,132.744
ACB,2018,1,1,0.705,3.353,15.438,134.651
ACB,2018,2,1,0.791,3.392,15.357,130.794
ACB,2018,3,1,0.846,3.414,15.282,129.55
ACB,2018,4,1,0.735,3.562,16.675,151.893
ACB,2019,1,1,0.691,3.53,16.125,158.1
ACB,2019,2,1,0.668,3.547,16.599,161.476
ACB,2019,3,1,0.673,3.566,16.531,158.938
ACB,2019,4,1,0.545,3.569,18.193,174.953
ACB,2020,1,1,0.659,3.575,15.911,148.329
ACB,2020,2,1,0.683,3.517,17.461,144.107
ACB,2020,3,1,0.842,3.545,18.424,117.479
ACB,2020,4,1,0.597,3.698,20.97,160.312
ACB,2021,1,1,0.921,3.855,21.439,120.373
ACB,2021,2,1,0.692,4.151,21.482,207.728
ACB,2021,3,1,0.853,4.22,21.924,197.71
ACB,2021,4,1,0.786,4.089,24.829,209.39
ACB,2022,1,1,0.834,4.113,26.278,187.812
ACB,2022,2,1,0.769,4.071,24.389,185.088
ACB,2022,3,1,1.023,4.161,23.61,137.792
ACB,2022,4,1,0.745,4.265,21.777,159.273
ACB,2023,1,1,0.984,4.311,19.717,116.605
ACB,2023,2,1,1.077,4.263,20.346,107.613
ACB,2023,3,1,1.215,4.139,20.184,94.62
ACB,2023,4,1,1.221,3.87,21.539,91.163
ACB,2024,1,1,1.469,3.835,21.652,78.555
ACB,2024,2,1,1.494,3.769,21.111,77.797
ACB,2024,3,1,1.509,3.693,20.983,80.492
ACB,2024,4,1,1.507,3.596,21.996,77.917
