ticker,year,quarter,npl_ratio_3_5_pct,nim_pct,casa_ratio_pct,llr_coverage_pct,flags
ABB,2012,2,,5.151,,,nim_only
ABB,2013,2,,4.417,,,llr_neg_or_zero|npl_zero|nim_only
ABB,2013,4,7.847,4.594,23.22,36.216,
ABB,2014,1,,2.745,,,nim_only
ABB,2014,2,7.681,2.745,22.039,35.583,
ABB,2014,3,,2.745,21.532,,npl_zero
ABB,2014,4,4.592,2.606,23.065,40.46,
ABB,2015,4,2.454,2.73,21.625,51.354,
ABB,2016,1,2.218,2.908,19.92,55.303,
ABB,2016,2,2.048,2.773,23.123,70.269,
ABB,2016,4,2.602,2.849,19.845,57.485,
ABB,2017,3,3.014,2.865,18.679,61.939,
ABB,2018,1,3.075,2.954,16.997,59.692,
ABB,2018,2,2.195,2.86,19.094,77.333,
ABB,2018,3,2.467,2.801,18.493,65.574,
ABB,2018,4,1.91,2.477,18.218,65.749,
ABB,2019,1,2.264,2.564,18.005,64.925,
ABB,2019,2,2.306,2.765,16.029,55.956,
ABB,2019,3,3.463,2.754,15.465,64.93,
ABB,2019,4,2.341,2.715,11.317,55.842,
ABB,2020,1,2.615,2.677,11.945,55.545,
ABB,2020,2,2.763,2.484,12.717,43.88,
ABB,2020,3,2.8,2.521,12.844,42.498,
ABB,2020,4,2.115,2.297,17.237,53.265,
ABB,2021,1,2.064,2.66,15.029,53.263,
ABB,2021,2,2.353,2.733,16.926,55.49,
ABB,2021,3,2.948,2.758,18.986,45.558,
ABB,2021,4,2.372,2.77,16.326,50.157,
ABB,2022,1,2.342,2.901,17.982,47.849,
ABB,2022,2,2.332,3.001,16.604,52.689,
ABB,2022,3,2.374,2.961,16.998,50.782,
ABB,2022,4,2.921,3.099,11.877,43.394,
ABB,2023,1,4.084,2.927,9.212,35.688,
ABB,2023,2,4.617,2.645,10.014,33.507,
ABB,2023,3,3.556,2.345,8.603,40.321,
ABB,2023,4,2.952,2.038,11.234,46.395,
ABB,2024,1,3.982,1.871,12.64,40.265,
ABB,2024,2,3.602,1.893,10.762,44.146,
ABB,2024,3,3.253,1.884,11.017,53.514,
ABB,2024,4,3.804,1.827,12.121,46.215,
ABB,2025,1,3.871,1.939,10.297,45.905,
ABB,2025,2,2.79,2.185,12.495,56.904,
ABB,2025,3,2.673,2.527,8.895,60.055,
