quarter,gdp_bn_vnd,real_estate_bn_vnd,construction_bn_vnd,finance_bn_vnd,series_vintage
2015Q1,808882.8,51831.0,36485.9,31220.7,old_pre2021
2016Q1,850315.0,54845.8,39652.6,33219.8,old_pre2021
2017Q1,931606.8,56911.8,42302.9,35901.5,old_pre2021
2018Q1,1027927.9,60025.0,49397.6,38364.0,old_pre2021
2018Q2,1242324.8,56012.7,70292.3,51962.3,old_pre2021
2018Q3,1412284.8,69947.4,77578.2,92830.6,old_pre2021
2018Q4,1851927.9,67832.2,126501.1,112197.3,old_pre2021
2019Q1,1118018.7,64019.8,53867.2,40278.4,old_pre2021
2019Q2,1367132.2,59668.2,78406.3,59454.8,old_pre2021
2019Q3,1541309.7,75199.8,85423.0,97849.7,old_pre2021
2019Q4,2010887.0,73406.6,140987.7,123722.6,old_pre2021
2020Q1,1193484.8,68101.1,56775.0,42082.2,old_pre2021
2020Q2,1382950.5,59099.1,83393.5,61287.5,old_pre2021
2020Q3,1595202.1,75911.9,93117.4,101971.7,old_pre2021
2020Q4,2121414.5,74877.9,156202.2,132808.6,old_pre2021
2021Q1,1953117.0,76432.0,95224.0,84871.0,revised_2021plus
2021Q2,2045180.2,67082.7,118181.9,81927.4,revised_2021plus
2021Q3,1996696.3,72104.5,121437.9,99963.1,revised_2021plus
2021Q4,2399004.8,84834.6,165005.8,121076.6,revised_2021plus
2022Q1,2137413.0,76430.1,105975.2,97268.9,revised_2021plus
2022Q2,2312996.2,72548.9,139953.8,94782.9,revised_2021plus
2022Q3,2378300.4,84211.6,154368.6,114595.7,revised_2021plus
2022Q4,2669131.0,97097.9,186562.2,141944.4,revised_2021plus
2023Q1,2296833.0,81164.5,116486.2,110728.9,revised_2021plus
2023Q2,2445616.7,84500.2,154986.3,105846.0,revised_2021plus
2023Q3,2554935.7,88969.9,169667.0,126514.6,revised_2021plus
2023Q4,2921187.1,111059.4,203510.1,154191.1,revised_2021plus
2024Q1,2517636.3,85975.6,126766.0,122357.9,revised_2021plus
2024Q2,2732153.1,88824.2,163886.0,120274.3,revised_2021plus
2024Q3,2894998.5,96398.6,183049.6,143536.8,revised_2021plus
2024Q4,3297407.6,123069.0,222411.0,173821.1,revised_2021plus
2025Q1,2809521.9,95035.1,138664.9,133286.6,revised_2021plus
2025Q2,3099631.8,101130.5,182847.5,131371.3,revised_2021plus
2025Q3,3237106.7,110126.4,206476.9,160215.5,revised_2021plus
2025Q4,3710894.9,140537.6,261025.8,193636.5,revised_2021plus
2026Q1,3143977.9,107255.6,159158.9,148048.3,revised_2021plus
2026Q2,3479487.2,112646.3,214720.0,148002.2,revised_2021plus
