# fetch_trading_data 1d; ints ty VND; cols ts,vn_fb,vn_fs,hnx_fn; 495 rows
140102,61,27,2
140103,45,24,4
140106,86,60,0
140107,114,91,14
140108,170,133,3
140109,256,140,13
140110,147,70,16
140113,150,63,8
140114,151,75,15
140115,217,83,41
140116,305,111,-185
140117,509,261,40
140120,517,207,55
140121,507,302,82
140122,360,617,20
140123,253,130,1
140124,263,129,9
140127,153,140,-11
140206,263,360,0
140207,706,674,18
140210,387,363,8
140211,347,181,23
140212,242,156,16
140213,210,116,3
140214,311,190,30
140217,180,236,35
140218,315,219,39
140219,244,196,20
140220,347,189,29
140221,179,146,11
140224,200,237,8
140225,314,168,4
140226,167,131,8
140227,265,195,6
140228,400,385,10
140303,106,198,17
140304,132,266,-21
140305,228,330,-6
140306,214,288,6
140307,186,253,-8
140310,219,268,-15
140311,241,282,-3
140312,411,365,-2
140313,245,329,-4
140314,252,287,-17
140317,256,235,4
140318,399,395,-48
140319,427,471,-74
140320,341,470,-45
140321,1501,1696,-211
140324,146,283,-34
140325,220,828,-51
140326,456,409,47
140327,211,305,-14
140328,201,203,0
140331,260,160,12
140401,326,238,13
140402,340,308,7
140403,218,177,6
140404,1858,401,-10
140407,304,418,9
140408,187,251,-19
140410,434,580,-1
140411,290,468,11
140414,137,229,0
140415,279,237,18
140416,318,175,29
140417,238,275,9
140418,146,65,13
140421,159,55,39
140422,185,115,17
140423,153,75,10
140424,119,102,18
140425,323,287,2
140428,180,175,3
140429,204,195,1
140505,186,169,1
140506,190,173,13
140507,214,164,8
140508,482,238,36
140509,265,173,45
140512,344,117,18
140513,309,87,37
140514,363,145,32
140515,536,213,101
140516,343,200,27
140519,361,219,39
140520,112,81,33
140521,148,176,22
140522,336,419,38
140523,129,113,1
140526,76,38,-1
140527,195,162,22
140528,167,128,4
140529,257,132,-2
140530,404,182,21
140602,212,97,17
140603,216,74,11
140604,130,74,10
140605,76,66,14
140606,70,65,30
140609,110,101,50
140610,117,78,19
140611,147,121,38
140612,115,76,20
140613,101,105,19
140616,246,231,15
140617,143,129,17
140618,249,154,10
140619,252,119,36
140620,1108,740,35
140623,158,113,13
140624,218,193,48
140625,175,137,7
140626,298,181,16
140627,235,94,20
140630,143,89,23
140701,139,108,5
140702,254,242,36
140703,247,208,24
140704,279,179,16
140707,202,166,27
140708,117,168,18
140709,159,199,18
140710,139,102,25
140711,190,200,20
140714,94,139,10
140715,96,173,8
140716,233,210,24
140717,160,89,11
140718,161,188,35
140721,177,165,-3
140722,268,230,-40
140723,69,53,6
140724,224,106,6
140725,142,109,22
140728,77,50,15
140729,123,83,14
140730,122,609,11
140731,262,285,1
140801,330,303,-5
140804,158,126,0
140805,152,210,-15
140806,169,347,10
140807,100,226,-4
140808,137,383,6
140811,355,501,-1
140812,88,227,-3
140813,128,330,29
140814,194,304,11
140815,257,297,-8
140818,1940,1975,-16
140819,605,704,-15
140820,115,181,-5
