# fetch_trading_data 1d HNXINDEX fn only; ints ty VND; cols ts,hnx_fn; 667 rows 2016-01-04..2018-08-31
160104,17
160105,18
160106,7
160107,6
160108,23
160111,13
160112,-7
160113,-1
160114,-20
160115,-14
160118,19
160119,-4
160120,8
160121,-10
160122,3
160125,18
160126,8
160127,-14
160128,-2
160129,-19
160201,0
160202,11
160203,-2
160204,-3
160205,11
160215,12
160216,20
160217,-20
160218,0
160219,-1
160222,2
160223,8
160224,-11
160225,-1
160226,-4
160229,4
160301,9
160302,12
160303,21
160304,4
160307,22
160308,-21
160309,-9
160310,16
160311,1
160314,8
160315,-3
160316,-1
160317,23
160318,41
160321,15
160322,20
160323,10
160324,15
160325,8
160328,17
160329,-1
160330,14
160331,20
160401,15
160404,20
160405,11
160406,5
160407,4
160408,3
160411,8
160412,11
160413,21
160414,17
160415,42
160419,28
160420,23
160421,7
160422,6
160425,-1
160426,-8
160427,8
160428,0
160429,13
160504,1
160505,-3
160506,-1
160509,19
160510,6
160511,7
160512,13
160513,19
160516,14
160517,34
160518,11
160519,-21
160520,-2
160523,1
160524,12
160525,5
160526,29
160527,12
160530,12
160531,16
160601,6
160602,18
160603,1
160606,-4
160607,11
160608,7
160609,6
160610,15
160613,22
160614,6
160615,2
160616,8
160617,-42
160620,5
160621,19
160622,-23
160623,-3
160624,-25
160627,52
160628,23
160629,12
160630,59
160701,-11
160704,-10
160705,-104
160706,-25
160707,-9
160708,-1
160711,13
160712,-1
160713,-31
160714,35
160715,18
160718,6
160719,17
160720,19
160721,46
160722,37
160725,20
160726,10
160727,6
160728,21
160729,13
160801,22
160802,32
160803,18
160804,30
160805,27
160808,11
160809,16
160810,-7
160811,16
160812,16
160815,0
160816,1
160817,-13
160818,1
160819,-9
160822,19
160823,7
160824,5
160825,-2
160826,17
160829,0
160830,28
160831,14
160901,2
160905,1
160906,-19
160907,-4
160908,-42
160909,-25
160912,14
160913,0
160914,0
160915,5
160916,-55
160919,8
160920,10
160921,-23
160922,4
160923,17
160926,11
160927,0
160928,7
160929,16
160930,6
161003,3
161004,-22
161005,3
161006,17
161007,6
161010,14
161011,15
161012,5
161013,-3
161014,-13
161017,-17
161018,-3
161019,2
161020,-2
161021,11
161024,3
161025,12
161026,9
161027,1
161028,2
161031,-2
161101,-2
161102,-6
161103,-13
161104,-1
161107,0
161108,-6
161109,14
161110,-15
161111,3
161114,0
161115,10
161116,-5
161117,-11
161118,-7
161121,-13
161122,-18
161123,14
161124,4
161125,3
161128,-16
161129,3
161130,1
161201,-55
161202,-3
161205,-9
161206,1
161207,17
161208,6
161209,-8
161212,9
161213,0
161214,7
161215,2
161216,-50
161219,-3
161220,0
161221,-12
161222,0
161223,0
161226,-2
161227,6
161228,0
161229,0
161230,8
170103,7
170104,12
170105,18
170106,15
170109,0
170110,5
170111,3
170112,-2
170113,1
170116,42
170117,-1
170118,-13
170119,3
170120,7
170123,1
170124,0
170125,16
170202,-10
170203,6
170206,0
170207,-1
170208,-4
170209,0
170210,12
170213,-7
170214,13
170215,0
170216,11
170217,8
170220,1
170221,-1
170222,3
170223,3
170224,3
170227,2
170228,9
170301,6
170302,-2
170303,8
170306,3
170307,-14
170308,5
170309,5
170310,22
170313,8
170314,4
170315,-2
170316,-3
170317,-61
170320,0
170321,16
170322,17
170323,15
170324,16
170327,10
170328,11
170329,-2
170330,21
170331,-19
170403,15
170404,-10
170405,-17
170407,-1
170410,15
170411,3
170412,13
170413,3
170414,8
170417,-14
170418,-31
170419,-15
170420,-1
170421,5
170424,5
170425,-9
170426,-11
170427,14
170428,6
170503,1
170504,4
170505,3
170508,-17
170509,-24
170510,-8
170511,-1
170512,-6
170515,5
170516,-4
170517,-1
170518,-1
170519,15
170522,13
170523,12
170524,25
170525,-1
170526,7
170529,17
170530,26
170531,26
170601,2
170602,-11
170605,0
170606,8
170607,8
170608,-13
170609,4
170612,8
170613,9
170614,2
170615,12
170616,-84
170619,-17
170620,1
170621,1
170622,-7
170623,1
170626,3
170627,9
170628,-1
170629,-7
170630,5
170703,-14
170704,6
170705,-5
170706,-20
170707,-12
170710,2
170711,-10
170712,-5
170713,0
170714,-4
170717,-35
170718,5
170719,-32
170720,-14
170721,-5
170724,3
170725,-15
170726,-58
170727,-16
170728,-42
170731,6
170801,-6
170802,-23
170803,-1
170804,-6
170807,46
170808,10
170809,-6
170810,-8
170811,-3
170814,-5
170815,-3
170816,-6
170817,17
170818,3
170821,-13
170822,23
170823,2
170824,-6
170825,6
170828,5
170829,-9
170830,4
170831,7
170901,8
170905,8
170906,2
170907,-9
170908,-1
170911,-9
170912,89
170913,-5
170914,-12
170915,-11
170918,-16
170919,4
170920,31
170921,-11
170922,-8
170925,-77
170926,-65
170927,-239
170928,-138
170929,-4
171002,-18
171003,-16
171004,-2
171005,-17
171006,-12
171009,-398
171010,-18
171011,-23
171012,-27
171013,-18
171016,-9
171017,-8
171018,309
171019,4
171020,0
171023,5
171024,7
171025,1
171026,0
171027,14
171030,5
171031,-1
171101,10
171102,22
171103,19
171106,4
171107,3
171108,30
171109,24
171110,4
171113,4
171114,21
171115,8
171116,-37
171117,-3
171120,-5
171121,-21
171122,-18
171123,7
171124,-13
171127,42
171128,25
171129,246
171130,-13
171201,-53
171204,-9
171205,-11
171206,3
171207,3
171208,-14
171211,21
171212,22
171213,4
171214,-6
171215,-9
171218,26
171219,15
171220,18
171221,-1
171222,-7
171225,0
171226,-17
171227,12
171228,10
171229,24
180102,33
