# 2016 251 rows; ints (ty VND); cols ts,fnm,fnd,pn,lin,lpn; 2016-01..03: lin==pn & lpn blank (unavailable); resid |sum| med 64 p95 235
160104,-19,1,-13,-13,
160105,-91,-10,11,11,
160106,-44,18,0,0,
160107,-24,0,41,41,
160108,0,0,-25,-25,
160111,-20,7,6,6,
160112,-19,14,-3,-3,
160113,-96,14,1,1,
160114,-172,48,3,3,
160115,-122,0,4,4,
160118,-36,-1,-21,-21,
160119,-64,-17,1,1,
160120,-69,91,-29,-29,
160121,-89,-6,-3,-3,
160122,-74,-6,17,17,
160125,-145,0,-38,-38,
160126,-38,-5,-24,-24,
160127,-111,6,-13,-13,
160128,-120,0,-26,-26,
160129,-47,-59,31,31,
160201,-36,0,40,40,
160202,-38,-119,-25,-25,
160203,-73,-5,-12,-12,
160204,1,25,-1,-1,
160205,-23,-7,-5,-5,
160215,-71,-13,5,5,
160216,-91,1,33,33,
160217,-126,-34,0,0,
160218,-4,26,20,20,
160219,190,40,-19,-19,
160222,3,-1,-7,-7,
160223,121,-41,-27,-27,
160224,36,0,7,7,
160225,15,0,5,5,
160226,-12,14,1,1,
160229,-30,8,-2,-2,
160301,-12,20,-10,-10,
160302,138,-1,-1,-1,
160303,44,33,-37,-37,
160304,104,5,-21,-21,
160307,85,5,6,6,
160308,40,0,-23,-23,
160309,-43,-6,3,3,
160310,-55,62,7,7,
160311,-48,19,25,25,
160314,23,9,-1,-1,
160315,-73,-32,-2,-2,
160316,-8,14,-4,-4,
160317,-2,207,-30,-30,
160318,-256,105,23,23,
160321,-19,0,-37,-37,
160322,24,11,-22,-22,
160323,64,0,-70,-70,
160324,-27,0,-31,-31,
160325,108,33,6,6,
160328,97,8,-29,-29,
160329,49,-106,-31,-31,
160330,61,-1,-36,-36,
160331,121,-308,-54,-54,
160401,33,0,23,-9,-29
160404,35,4,-11,37,-82
160405,23,-634,-40,13,592
160406,65,-508,-64,-54,499
160407,84,25,-42,-53,-55
160408,39,-204,-51,190,-26
160411,40,116,98,-205,49
160412,41,-805,17,-63,826
160413,38,20,-195,-33,-31
160414,79,34,-33,-95,-14
160415,63,11,25,-20,-51
160419,45,-45,-48,83,-77
160420,126,13,-82,-74,-61
160421,56,19,-7,-82,8
160422,149,55,86,-48,-157
160425,-21,30,351,-79,68
160426,78,-846,6,278,542
160427,46,15,-80,-39,-22
160428,-4,50,-65,-98,53
160429,93,-17,-36,-24,-105
160504,69,22,-43,-100,29
160505,24,6,-229,-25,-49
160506,162,7,-60,-27,-161
160509,96,-220,-20,751,-665
160510,55,16,-23,-163,58
160511,120,-318,28,1094,-930
160512,41,-52,-9,12,-79
160513,30,0,-27,11,-91
160516,11,24,2,43,-90
160517,134,14,-54,24,-215
160518,132,16,-68,22,-275
160519,43,-153,-45,-55,114
160520,-101,0,-33,-58,123
160523,61,0,-10,11,-78
160524,57,5,-16,49,-139
160525,26,0,12,31,-83
160526,91,0,2,14,-211
160527,92,0,1,21,-189
160530,155,-12,17,-20,-165
160531,80,4,-13,-15,-172
160601,108,-93,15,0,-63
160602,107,-2,-39,0,-130
160603,28,0,2,3,-79
160606,-1,-217,21,-34,203
160607,74,19,-16,-25,-110
160608,167,7,482,-44,-165
160609,120,12,-2,-29,-160
160610,188,7,8,-6,-264
160613,28,-115,14,13,46
160614,-16,0,-64,38,-38
160615,-16,0,22,13,-36
160616,-54,30,10,-35,26
160617,-474,47,-10,21,353
160620,61,8,-7,0,-119
160621,81,3,-20,-67,-93
160622,26,10,-5,-45,-58
160623,-82,2,-117,-62,94
160624,-29,6,-9,-8,-69
160627,18,-2,29,61,-91
160628,23,4,73,6,-118
160629,-21,1,-267,14,-92
