# 2022 250 rows from provider incl. 1 duplicate 220824 (removed here -> 249); ints; cols ts,fnm,fnd,pn,lin,lpn; pn blank 220303-220516; resid |sum| med 147 p95 605
220104,464,-30,199,122,-556
220105,-168,-93,187,312,-50
220106,-315,43,105,577,-306
220107,-471,-3,301,69,405
220110,-466,-8,283,206,268
220111,103,1,-57,1553,-1657
220112,424,9,-29,-191,-242
220113,-142,24,-119,-284,403
220114,664,106,92,-351,-418
220117,132,70,-227,-505,303
220118,874,25,481,624,-1522
220119,-15,-4790,251,176,4629
220120,-144,-7,-53,-118,269
220121,-1064,-55,-296,-1087,2206
220124,-135,-87,-490,-716,938
220125,1279,14,25,-262,-1030
220126,482,-166,-297,-728,412
220127,229,-84,-95,3,-149
220128,365,-30,539,611,-946
220207,355,-47,47,-328,21
220208,-340,-7,224,-718,1065
220209,257,-36,-407,-884,663
220210,-708,-26,-180,-337,1071
220211,-503,-28,194,24,508
220214,-290,0,65,175,116
220215,1001,-18,272,268,-1279
220216,-24,14,-100,129,-119
220217,613,156,67,600,-1369
220218,100,2,-223,-389,287
220221,195,-19,149,369,-545
220222,-108,0,-364,-429,537
220223,151,4,-95,-315,159
220224,-352,179,-18,633,-460
220225,-68,4,-76,-511,575
220228,-929,135,41,-222,1016
220301,-249,399,-137,-838,688
220302,-1168,2,648,1077,90
220303,582,-36,,307,-853
220304,-124,599,,-600,126
220307,-1312,-154,,-291,1757
220308,-1505,-15,,-384,1904
220309,-1030,-39,,606,463
220310,-743,0,,-429,1171
220311,-518,-25,,-695,1239
220314,-648,-76,,159,565
220315,-468,39,,-798,1226
220316,-290,-8,,-295,593
220317,147,-10,,-1191,1054
220318,-199,-18,,397,-180
220321,952,149,,290,-1392
220322,449,91,,-75,-465
220323,817,203,,-501,-518
220324,-100,-14,,-336,450
220325,-35,-14,,149,-100
220328,-47,-38,,267,-182
220329,-218,241,,-388,365
220330,65,60,,-20,-104
220331,336,2,,339,-677
220401,432,-18,,258,-672
220404,-55,53,,-215,217
220405,-255,-21,,-102,378
220406,98,14,,-635,523
220407,-532,6,,-231,759
220408,-298,-9,,434,-126
220412,-371,102,,698,-428
220413,-3,1496,,-269,-1223
220414,-217,0,,-293,510
220415,50,57,,-396,289
220418,-49,60,,621,-631
220419,276,0,,-286,11
220420,451,-11,,516,-956
220421,912,25,,-79,-858
220422,906,18,,1929,-2853
220425,99,127,,-56,-170
220426,1042,-2,,195,-1234
220427,-248,-5,,-974,1227
220428,-315,6,,-375,683
220429,-94,190,,31,-127
220504,-257,-48,,-787,1092
220505,348,-43,,-73,-231
220506,-39,-28,,93,-26
220509,595,-21,,1118,-1692
220510,737,-15,,793,-1515
220511,-138,43,,-216,311
220512,-106,0,,-637,743
220513,7,580,,747,-1334
220516,257,0,,-7,-250
220517,-35,0,154,-138,173
220518,227,-47,-639,-909,729
220519,-121,-4,-252,-343,468
220520,-420,0,133,-187,608
220523,-472,36,-106,-162,598
220524,197,-1,13,-20,-176
220525,5,-1,5,-115,110
220526,-280,4,-122,-477,753
220527,41,82,1058,730,-854
220530,304,1404,162,-1570,-138
220531,155,237,-221,-536,144
220601,579,21,358,145,-745
220602,-560,24,-233,-665,1201
220603,-182,0,29,-191,373
220606,-10,65,-338,-298,244
220607,129,31,-94,-495,335
220608,239,34,-77,-76,-197
220609,156,26,5,-263,82
220610,87,1,-79,217,-304
220613,-219,37,70,30,-42
220614,312,0,98,685,-1199
220615,-222,42,114,940,-760
220616,704,-6,-240,-42,-657
220617,352,-36,28,101,-417
220620,-604,0,223,190,415
220621,392,-9,412,591,-973
220622,29,0,211,302,-332
220623,355,0,-390,-649,67
220624,-82,33,-203,-262,311
220627,254,-4,31,-90,-160
220628,105,52,79,-784,627
220629,-43,11,180,18,171
220630,0,6,-22,-62,56
220701,-62,31,-91,21,61
220704,-130,0,26,-76,199
220705,-289,21,89,-2,201
220706,-777,28,390,508,214
220707,486,5,233,327,-840
220708,-413,14,-223,-320,709
220711,7,0,-98,-284,261
220712,-299,16,-5,-222,476
220713,-353,-204,-144,-314,872
220714,150,-1,-79,-174,-46
220715,-179,-316,85,-115,610
220718,-101,-14,-8,13,102
220719,-290,-1,107,15,301
220720,161,7,-101,-300,102
220721,362,27,1,296,-684
220722,349,29,135,202,-585
220725,158,0,212,199,-398
220726,55,0,1,-230,173
220727,-3,623,186,-81,-539
220728,331,344,114,-146,-530
220729,411,-444,-89,-313,-33
220801,648,13,79,304,-964
220802,570,-196,418,89,-466
220803,658,-7,-379,-197,-444
220804,266,-207,515,492,-530
220805,-297,-7,22,-469,759
220808,-210,112,53,-129,239
220809,-38,-32,-1,-40,109
220810,16,34,-62,-21,-41
220811,82,-7,421,609,-708
220812,140,-1,-22,42,-175
220815,-24,89,-90,-7,-80
220816,437,94,173,306,-770
220817,-7,-40,170,555,-548
220818,124,-4,-86,949,-1080
220819,-136,33,215,213,-34
220822,-228,0,72,-490,676
220823,-45,-29,-360,-142,171
220824,-168,5,-156,-1017,1115
220825,53,38,-38,-435,333
220826,-61,0,-104,-855,920
220829,-371,0,209,67,333
220830,-8,-5,87,72,-54
220831,-79,-102,-45,-283,468
220905,-174,-243,-156,-292,601
220906,-274,5,35,72,198
220907,-449,0,-218,-278,727
220908,75,0,144,339,-495
220909,164,14,27,218,-416
220912,167,11,-405,-352,123
220913,-280,16,-157,120,127
220914,-16,-37,-220,-282,332
220915,-345,13,-99,-559,900
220916,-359,-63,-6,-127,565
220919,149,0,129,221,-385
220920,407,18,63,100,-545
220921,-133,11,-419,-613,720
220922,-393,-81,-32,-69,544
220923,-276,-53,-328,-411,733
220926,-558,2,390,411,20
220927,-385,-2,159,21,366
220928,-37,32,-119,33,-29
220929,-150,-12,104,40,76
220930,289,-106,782,1037,-1457
221003,-552,20,-576,-762,1239
221004,-434,-37,27,237,73
221005,211,15,-316,-372,78
221006,-147,13,-578,-410,463
221007,258,1,-543,-718,459
221010,378,201,-650,-2198,1619
221011,140,19,-501,-652,493
221012,1231,5,-258,18,-1254
221013,442,10,-262,-167,-286
221014,216,0,-156,-2584,2368
221017,243,-8,-42,-371,135
221018,-30,2,-25,-132,161
221019,-56,-25,-30,135,-55
221020,163,22,-120,410,-595
221021,-435,-3,-212,-280,718
221024,74,0,-79,-226,152
221025,-85,1,86,279,-194
221026,-79,22,43,115,-58
221027,-168,-1,252,225,-56
221028,-77,-3335,-208,-180,3592
221031,-128,356,-263,-64,-165
221101,-711,-50,25,244,517
221102,-249,0,26,-209,457
221103,251,0,128,94,-345
221104,-10,1,609,144,-135
221107,540,-19,-31,558,-1080
221108,517,19,-507,466,-1002
221109,351,214,-422,-570,5
221110,68,-54,30,463,-477
221111,2027,459,161,516,-3001
221114,1667,35,94,746,-2448
221115,1128,60,-408,123,-1312
221116,619,38,-44,491,-1148
221117,1435,71,341,489,-1995
221118,-92,67,-169,453,-428
221121,-9,49,-218,-289,249
221122,191,70,-291,-391,131
221123,57,2,-14,156,-215
221124,312,-23,66,297,-586
221125,952,10,159,313,-1276
221128,1681,4,-79,284,-1968
221129,2555,84,-149,-256,-2382
221130,1644,12,635,-1079,-578
221201,986,39,-206,-628,-397
221202,2158,22,604,671,-2850
221205,1330,50,-16,-851,-529
221206,781,1,-396,-670,-113
221207,1004,0,-87,-178,-826
221208,610,-29,82,-89,-492
221209,447,2,562,699,-1148
221212,142,193,-417,-12,-323
221213,877,22,145,597,-1496
221214,28,0,23,-62,33
221215,318,0,182,82,-401
221216,275,0,41,-295,20
221219,117,-12,-396,100,-206
221220,1042,821,54,-625,-1239
221221,439,1219,97,-17,-1641
221222,365,-2853,802,1420,1068
221223,296,-61,367,392,-627
221226,348,97,-2,-24,-421
221227,782,-9,-24,138,-911
221228,424,-92,-483,562,-894
221229,320,-179,-410,10,-151
221230,462,47,-506,-569,61
