# 2025 249 rows; ints; cols ts,fnm,fnd,pn,lin,lpn; resid |sum| med 300 p95 1158
250102,-97,0,-766,-1152,1249
250103,-709,-27,-991,-820,1555
250106,123,-10,290,593,-706
250107,-92,0,-163,84,8
250108,-436,-8,456,961,-516
250109,-442,2,8,-73,513
250110,-223,0,217,166,57
250113,-70,-1,353,1150,-1079
250114,-635,5,24,-8,638
250115,-405,0,34,-60,465
250116,-1049,-2057,-515,-519,3625
250117,-460,-15,223,780,-305
250120,-223,-25,159,-32,279
250121,-157,-6,272,235,-71
250122,-207,-43,379,454,-205
250123,174,-28,471,879,-1026
250124,590,44,535,788,-1422
250203,-1461,-1,-1,-583,2044
250204,-633,-322,-949,-437,1392
250205,-364,-1,320,587,-222
250206,-338,-8,-181,-7,352
250207,-377,-735,-81,2,1110
250210,-529,86,-183,-446,889
250211,-573,-7,196,129,451
250212,-416,7,13,54,354
250213,-309,76,0,163,70
250214,-266,87,147,316,-136
250217,-595,-6,201,380,221
250218,-158,14,49,174,-30
250219,299,55,1,225,-578
250220,-365,-29,205,-4,398
250221,-73,-121,-37,-290,484
250224,-309,43,-281,-150,415
250225,-593,252,-173,64,277
250226,-520,222,-300,-44,342
250227,-625,-15,201,613,27
250228,-1038,52,-181,-205,1191
250303,-244,-133,441,579,-201
250304,-353,27,-143,-159,485
250305,-432,73,-363,-460,819
250306,442,-10,67,-788,356
250307,-171,25,-325,-574,720
250310,-733,156,-131,-193,771
250311,-220,6,508,631,-417
250312,-899,66,135,769,65
250313,198,-45,-128,-156,3
250314,-584,357,-594,-557,784
250317,240,-35,-357,-77,-128
250318,-438,3,-12,285,150
250319,-1368,-37,1192,793,613
250320,-1446,38,255,-666,2075
250321,-925,-24,309,343,607
250324,-736,16,118,266,455
250325,-436,34,141,1675,-1273
250326,-536,22,373,175,339
250327,-74,10,32,-2183,2246
250328,-603,199,-279,-221,626
250331,-1408,129,-375,917,361
250401,-448,8,139,349,91
250402,-738,29,285,-1194,1903
250403,-3688,-1,1060,485,3204
250404,-3179,417,1071,-32,2794
250408,-1740,12,-1312,-2321,4049
250409,140,131,-2260,-2076,1804
250410,-886,31,-45,81,774
250411,996,-16,-1314,-1343,363
250414,-112,-1,-108,-109,222
250415,198,16,-613,-998,784
250416,-331,55,-231,-748,1024
250417,-172,-4469,-213,-765,5407
250418,-19,28,240,439,-448
250421,69,100,-437,-789,621
250422,374,144,58,-125,-393
250423,-111,19,663,608,-516
250424,583,-5,-220,-505,-74
250425,-624,31,1233,36,557
250428,-70,69,-367,-158,159
250429,-261,8,-1240,259,-5
250505,93,37,-503,-736,606
250506,44,28,-324,-57,-15
250507,879,20,192,-472,-427
250508,241,8,-276,-391,142
250509,-89,0,-195,207,-117
250512,-299,5,433,270,24
250513,952,26,-303,-222,-756
250514,2417,-144,181,-996,-1277
250515,897,21,58,-976,58
250516,-771,-183,-192,188,766
250519,330,-827,15,564,-67
250520,-475,-45,-576,331,189
250521,467,11,-395,-490,12
250522,106,7,-358,-84,-29
250523,-142,7,197,341,-206
250526,-2,-33,-231,-88,123
250527,-1098,-27,-159,99,1026
250528,-241,41,-468,-422,622
250529,-341,81,-610,-211,471
250530,-1086,0,-802,105,981
250602,-129,-82,-147,-1008,1219
250603,465,388,-420,-773,-81
250604,-32,18,-23,59,-46
250605,-477,1,131,630,-154
250606,-520,-1740,-143,592,1667
250609,-324,-22,809,689,-343
250610,325,-16,439,216,-525
250611,-232,73,6,76,84
250612,420,29,331,-354,-95
250613,103,-8,-245,-547,452
250616,943,42,-678,-1346,361
250617,570,-11,-195,-321,-237
250618,-370,93,182,96,181
250619,-872,-22,-443,257,637
250620,-445,-128,-36,-100,673
250623,-142,-24,358,663,-497
250624,29,200,641,203,-432
250625,184,-6,362,-80,-98
250626,-489,218,602,-1033,1305
250627,-63,52,333,-556,567
250630,589,3,182,-462,-130
250701,400,-766,-986,38,328
250702,918,-33,-841,-124,-762
250703,2259,17,-789,-611,-1665
250704,1528,251,462,-840,-938
250707,1249,-22,124,-391,-836
250708,1495,17,356,-263,-1250
250709,1896,43,273,-1171,-767
250710,1092,-16,272,-51,-1025
250711,1103,113,487,-283,-933
250714,146,-18,280,154,-282
250715,857,250,-313,-662,-444
250716,314,-77,180,-570,333
250717,82,-236,875,571,-417
250718,-118,21,143,536,-439
250721,19,157,-29,33,-209
250722,125,-1876,-51,-101,1853
250723,-157,403,-149,91,-337
250724,-404,196,92,510,-302
250725,-49,-15,-289,516,-453
250728,-1065,17,-205,-499,1547
250729,-667,-297,1154,1217,-253
250730,1688,-190,-1294,-871,-627
250731,-1760,-171,-164,1377,553
250801,-2444,139,360,232,2073
250804,-272,-9846,-287,7082,3036
250805,679,-3018,-1314,-386,2725
250806,359,169,-205,-245,-283
250807,-103,24,-637,-61,140
250808,-853,11,247,523,319
250811,-626,5,-393,0,621
250812,-657,-34,-628,283,409
250813,-1515,20,379,1267,228
250814,-2538,142,421,1091,1305
250815,-2824,-189,1056,2472,541
250818,-1905,-45,328,1176,774
250819,-1376,-128,1250,133,1372
250820,-389,-48,125,1649,-1212
250821,-2346,-77,415,953,1469
250822,-1341,-37,1330,1968,-590
250825,-1749,-7,1046,2051,-295
250826,228,647,-348,314,-1189
250827,-3984,-83,-1088,522,3545
250828,-2149,-417,-219,-12,2578
250829,-3621,-3,-667,517,3107
250903,-2873,-4,578,1258,1619
250904,-1188,398,275,87,703
250905,-1414,31,178,1187,196
250908,964,2,244,1773,-2739
250909,-968,90,107,119,759
250910,-2939,6,-674,1241,1692
250911,-927,-152,775,1388,-309
250912,-1044,-115,-197,69,1090
250915,-1330,10,-134,170,1149
250916,-146,181,-453,-2193,2158
250917,-312,175,111,342,-204
250918,-1488,-24,756,1488,24
250919,-2763,-18,271,1220,1560
250922,-1737,11,357,775,952
250923,-88,77,58,-206,217
250924,-1497,-9,-223,-511,2016
250925,-2123,60,-299,535,1529
250926,-2079,32,-408,706,1341
250929,-756,3,-461,-619,1373
250930,-996,-290,-524,531,755
251001,-1595,-55,274,785,865
251002,-2278,-77,342,1262,1093
251003,-1200,-21,620,754,467
251006,-1650,-208,422,75,1783
251007,-1342,2,109,112,1229
251008,103,115,-1076,-754,536
251009,-1631,27,-1008,-148,1752
251010,-567,105,-731,-220,681
251013,-1622,380,-775,-915,2157
251014,-1563,154,-645,-1859,3268
251015,-857,25,365,217,615
251016,704,-159,-82,131,-676
251017,-1020,-880,-197,1691,210
251020,-2061,8,1054,2500,-448
251021,2306,71,448,372,-2749
251022,-1527,-107,-173,-1018,2652
251023,-1844,555,224,130,1160
251024,-2012,250,932,1451,310
251027,-1187,70,-697,1790,-673
251028,964,557,-216,-345,-1176
251029,-843,-647,-337,639,850
251030,-988,-189,76,589,588
251031,-461,1,1104,424,36
251103,-131,-22,875,1061,-908
251104,1180,22,-1160,-1949,746
251105,-791,-17,-75,714,93
251106,-1225,163,-369,270,792
251107,-1348,36,11,1244,68
251110,-208,25,-92,395,-212
251111,-75,0,457,542,-467
251112,-391,10,145,312,69
251113,-1367,397,-393,-57,1027
251114,-692,20,1162,1122,-449
251117,-915,7,256,903,4
251118,-120,73,-366,-222,269
251119,-651,-1,-28,655,-4
251120,261,33,-49,326,-620
251121,-601,16,208,947,-362
251124,-1179,26,380,356,798
251125,-340,-23,68,-29,392
251126,622,5,254,84,-712
251127,-308,290,626,1040,-1022
251128,311,25,-393,1781,-2117
251201,-98,-200,24,2405,-2107
251202,619,17,-99,1776,-2413
251203,366,3280,-628,-3961,315
251204,1067,-25,581,-564,-478
251205,-616,9,181,459,148
251208,-244,-1638,-384,548,1333
251209,-1388,-1067,209,1776,679
251210,-422,55,18,529,-162
251211,-381,-112,194,-216,710
251212,-544,-50,339,749,-155
251215,663,32,-65,-251,-444
251216,8,-2,497,-301,295
251217,-6,11,-200,-36,31
251218,-438,-441,-373,923,-45
251219,479,42,297,295,-816
251222,471,50,223,-125,-396
251223,717,-2,-154,-741,26
251224,1115,-37,913,-1089,10
251225,676,-70,614,212,-818
251226,-1102,-46,1414,903,245
251229,247,-335,777,811,-723
251230,959,42,667,-411,-591
251231,504,210,310,-569,-145
