month,central,vcb_bid_tf,vcb_ask,free_ask,sbv_ask
2012-01,20828,20986,21036,,
2012-02,20828,20810,20870,,
2012-03,20850,20800,20860,,
2012-04,20828,20850,20930,,
2012-05,20828,20840,20890,,
2012-06,20828,20860,20920,,
2012-07,20828,20850,20885,,
2012-08,20828,20840,20880,,
2012-09,20828,20860,20900,,
2012-10,20828,20825,20865,,
2012-11,20828,20830,20870,,
2012-12,20828,20815,20855,,
2013-01,20828,20825,20865,20890,
2013-02,20828,20900,20980,21080,
2013-03,20828,20920,20960,21010,
2013-04,20828,20910,20960,21400,
2013-05,20828,20980,21030,21280,
2013-06,21036,21130,21200,21380,
2013-07,21036,21130,21190,21370,
2013-08,21036,21110,21180,21240,
2013-09,21036,21080,21140,21150,
2013-10,21036,21080,21120,21140,
2013-11,21036,21080,21120,21200,
2013-12,21036,21085,21125,21190,
2014-01,21036,21055,21105,21160,
2014-02,21036,21080,21120,21130,
2014-03,21036,21080,21120,21120,
2014-04,21036,21065,21105,21110,
2014-05,21036,21130,21180,21330,
2014-06,21246,21300,21360,21370,
2014-07,21246,21205,21255,21230,
2014-08,21246,21170,21220,21230,
2014-09,21246,21195,21245,21280,
2014-10,21246,21255,21305,21320,
2014-11,21246,21390,21405,21460,
2014-12,21246,21380,21405,21580,
2015-01,21458,21315,21365,21420,
2015-02,21458,21335,21385,21510,
2015-03,21458,21530,21590,21670,
2015-04,21458,21570,21630,21660,
2015-05,21673,21780,21840,21870,
2015-06,21673,21780,21840,21860,
2015-07,21673,21780,21840,21915,
2015-08,21890,22445,22505,22620,
2015-09,21890,22450,22510,22520,
2015-10,21890,22265,22345,22340,
2015-11,21890,22470,22540,22660,
2015-12,21890,22450,22540,22660,
2016-01,21881,22165,22235,22380,
2016-02,21914,22265,22335,22320,
2016-03,21857,22255,22325,22290,22513
2016-04,21842,22250,22320,22300,22497
2016-05,21939,22365,22435,22410,22597
2016-06,21873,22270,22340,22320,22529
2016-07,21862,22260,22330,22307,22518
2016-08,21921,22265,22335,22320,22579
2016-09,21949,22265,22335,22310,22607
2016-10,22039,22285,22355,22358,22700
2016-11,22118,22620,22700,22830,22732
2016-12,22159,22715,22785,23100,22774
2017-01,22202,22560,22630,22900,
2017-02,22232,22740,22810,22790,22849
2017-03,22276,22720,22790,22780,22894
2017-04,22350,22700,22770,22760,23001
2017-05,22396,22680,22750,22720,23048
2017-06,22431,22695,22765,22755,23084
2017-07,22432,22690,22760,22735,23085
2017-08,22443,22695,22765,22760,23096
2017-09,22470,22690,22760,22740,23124
2017-10,22471,22675,22745,22807,23125
2017-11,22433,22685,22755,22765,23086
2017-12,22425,22665,22735,22720,23078
2018-01,22441,22675,22745,22720,23094
2018-02,22463,22720,22790,22780,23117
2018-03,22458,22750,22820,22810,23112
2018-04,22539,22730,22800,22830,23195
2018-05,22595,22765,22835,22860,23253
